LAMMPS data file via write_data, version 19 Sep 2019, timestep = 50000

1152 atoms
2 atom types
768 bonds
1 bond types
384 angles
1 angle types

0.0000000000000000e+00 2.2199541000000000e+01 xlo xhi
0.0000000000000000e+00 2.2199541000000000e+01 ylo yhi
0.0000000000000000e+00 2.2199541000000000e+01 zlo zhi

Masses

1 1.008
2 15.9994

Atoms # full

472 2 2 -1.0400000000000000e+00 2.2423587590559064e+00 1.0305734084877410e-01 4.7464532650125868e+00 0 2 -1
473 2 1 5.2000000000000002e-01 2.1178222421692632e+00 7.4628262348285690e-01 4.0486136642976644e+00 0 2 -1
934 4 2 -1.0400000000000000e+00 3.2948492122830536e-01 5.2053207731704365e+00 3.4335383027431710e+00 0 2 1
936 4 1 5.2000000000000002e-01 1.0811628431672740e+00 5.4821958443444396e+00 3.9575134659912812e+00 0 2 1
193 1 2 -1.0400000000000000e+00 5.3140293342098870e+00 1.5702772021092595e+00 2.0404929280615822e+00 0 0 2
521 2 1 5.2000000000000002e-01 2.0545699019568335e+00 2.0419603504182109e+00 2.3543987133762028e+00 0 0 -2
713 3 1 5.2000000000000002e-01 2.1421407372976415e+00 4.3490627801524434e-01 1.2836717383035205e+00 2 -1 -1
145 1 2 -1.0400000000000000e+00 4.4816804091135767e+00 4.3998353426284034e+00 3.8797128238689051e+00 -1 1 1
146 1 1 5.2000000000000002e-01 5.1348239201733543e+00 4.3651982382301826e+00 4.5785937449049685e+00 -1 1 1
152 1 1 5.2000000000000002e-01 5.2619553287099965e+00 1.9378909860470719e+00 4.8112294174361194e+00 0 0 -6
147 1 1 5.2000000000000002e-01 4.9111014929062398e+00 3.9890231072377689e+00 3.1293408646326641e+00 -1 1 1
153 1 1 5.2000000000000002e-01 4.2225108235434599e+00 9.7108260043561523e-01 5.3372810372240025e+00 0 0 -6
712 3 2 -1.0400000000000000e+00 1.6115892352428642e+00 1.1667363247633871e+00 9.6875709110848685e-01 2 -1 -1
