# temp  Neff/N
3.000000000000000000e+02 4.413301111365354745e-01
3.023411371237457956e+02 4.500679476543927304e-01
3.046822742474916481e+02 4.584579980756429141e-01
3.070234113712374437e+02 4.664964234221409822e-01
3.093645484949832962e+02 4.741810616789430832e-01
3.117056856187290919e+02 4.815113014984023776e-01
3.140468227424749443e+02 4.884879515202468769e-01
3.163879598662207400e+02 4.951131077011889925e-01
3.187290969899665356e+02 5.013900207747689075e-01
3.210702341137123881e+02 5.073229656784462582e-01
3.234113712374581837e+02 5.129171145007564991e-01
3.257525083612040362e+02 5.181784142251760761e-01
3.280936454849498318e+02 5.231134702858659669e-01
3.304347826086956275e+02 5.277294367085680893e-01
3.327759197324414799e+02 5.320339133909348650e-01
3.351170568561872756e+02 5.360348508823346014e-01
3.374581939799331280e+02 5.397404628543499561e-01
3.397993311036789237e+02 5.431591463094942451e-01
3.421404682274247762e+02 5.462994094560283953e-01
3.444816053511705718e+02 5.491698070795681952e-01
3.468227424749163674e+02 5.517788831654103499e-01
3.491638795986622199e+02 5.541351204670383890e-01
3.515050167224080155e+02 5.562468966737107445e-01
3.538461538461538680e+02 5.581224468011731776e-01
3.561872909698996637e+02 5.597698314121588581e-01
3.585284280936455161e+02 5.611969102653563413e-01
3.608695652173913118e+02 5.624113209911258959e-01
3.632107023411371074e+02 5.634204623977114856e-01
3.655518394648829599e+02 5.642314820215752480e-01
3.678929765886287555e+02 5.648512675485573009e-01
3.702341137123746080e+02 5.652864417477350134e-01
3.725752508361204036e+02 5.655433605763051652e-01
3.749163879598662561e+02 5.656281141308310279e-01
3.772575250836120517e+02 5.655465301372653020e-01
3.795986622073578474e+02 5.653041796888653714e-01
3.819397993311036998e+02 5.649063849572256713e-01
3.842809364548494955e+02 5.643582286169059881e-01
3.866220735785952911e+02 5.636645647385719604e-01
3.889632107023411436e+02 5.628300309190045203e-01
3.913043478260869961e+02 5.618590614289539209e-01
3.936454849498327917e+02 5.607559011716034547e-01
3.959866220735785873e+02 5.595246202554688963e-01
3.983277591973244398e+02 5.581691289960881708e-01
4.006688963210702354e+02 5.566931931709044878e-01
4.030100334448160311e+02 5.551004493615012692e-01
4.053511705685618836e+02 5.533944202269576174e-01
4.076923076923077360e+02 5.515785295616465467e-01
4.100334448160535317e+02 5.496561170004620189e-01
4.123745819397993273e+02 5.476304522442919653e-01
4.147157190635451798e+02 5.455047486886690500e-01
4.170568561872909754e+02 5.432821763489686928e-01
4.193979933110367710e+02 5.409658739863171251e-01
4.217391304347826235e+02 5.385589603495587463e-01
4.240802675585284192e+02 5.360645444601480625e-01
4.264214046822742716e+02 5.334857348787062081e-01
4.287625418060200673e+02 5.308256479040800446e-01
4.311036789297659197e+02 5.280874146680505365e-01
4.334448160535117154e+02 5.252741871012038821e-01
4.357859531772575110e+02 5.223891427578318813e-01
4.381270903010033635e+02 5.194354884998996225e-01
4.404682274247492160e+02 5.164164630520167165e-01
4.428093645484949548e+02 5.133353384508180239e-01
4.451505016722408072e+02 5.101954204230341183e-01
4.474916387959866597e+02 5.070000477367555547e-01
4.498327759197324553e+02 5.037525905797657355e-01
4.521739130434782510e+02 5.004564480272524207e-01
4.545150501672241035e+02 4.971150446686486424e-01
4.568561872909699559e+02 4.937318264696460846e-01
4.591973244147156947e+02 4.903102559505742031e-01
4.615384615384615472e+02 4.868538067662798730e-01
4.638795986622073997e+02 4.833659577753453562e-01
4.662207357859531953e+02 4.798501866880003908e-01
4.685618729096989910e+02 4.763099633823620893e-01
4.709030100334448434e+02 4.727487429778330363e-01
4.732441471571906391e+02 4.691699587525379189e-01
4.755852842809364347e+02 4.655770149887842879e-01
4.779264214046822872e+02 4.619732798267118246e-01
4.802675585284281397e+02 4.583620782016667450e-01
4.826086956521739353e+02 4.547466849355631946e-01
4.849498327759197309e+02 4.511303180466124663e-01
4.872909698996655834e+02 4.475161323355221765e-01
4.896321070234113790e+02 4.439072132996465525e-01
4.919732441471571747e+02 4.403065714197576530e-01
4.943143812709030271e+02 4.367171368572184131e-01
4.966555183946488796e+02 4.331417545924717838e-01
4.989966555183946753e+02 4.295831800290084157e-01
5.013377926421404709e+02 4.260440750804489474e-01
5.036789297658863234e+02 4.225270047521318961e-01
5.060200668896321190e+02 4.190344342227000363e-01
5.083612040133779146e+02 4.155687264257024172e-01
5.107023411371237671e+02 4.121321401261970885e-01
5.130434782608696196e+02 4.087268284827780818e-01
5.153846153846154721e+02 4.053548380814048779e-01
5.177257525083612109e+02 4.020181084238691471e-01
5.200668896321070633e+02 3.987184718506862069e-01
5.224080267558529158e+02 3.954576538756823800e-01
5.247491638795986546e+02 3.922372739074851400e-01
5.270903010033445071e+02 3.890588463315443613e-01
5.294314381270903596e+02 3.859237819251654655e-01
5.317725752508360983e+02 3.828333895772958462e-01
5.341137123745819508e+02 3.797888782844315303e-01
5.364548494983278033e+02 3.767913593939981598e-01
5.387959866220735421e+02 3.738418490668219407e-01
5.411371237458193946e+02 3.709412709308533840e-01
5.434782608695652470e+02 3.680904588990823734e-01
5.458193979933110995e+02 3.652901601255418851e-01
5.481605351170568383e+02 3.625410380744306105e-01
5.505016722408026908e+02 3.598436756786482227e-01
5.528428093645485433e+02 3.571985785653826184e-01
5.551839464882943957e+02 3.546061783278325330e-01
5.575250836120401345e+02 3.520668358236205830e-01
5.598662207357859870e+02 3.495808444819564764e-01
5.622073578595318395e+02 3.471484336031234186e-01
5.645484949832775783e+02 3.447697716353563258e-01
5.668896321070234308e+02 3.424449694156486146e-01
5.692307692307692832e+02 3.401740833624673499e-01
5.715719063545150220e+02 3.379571186097219404e-01
5.739130434782608745e+02 3.357940320726692796e-01
5.762541806020067270e+02 3.336847354376938357e-01
5.785953177257524658e+02 3.316290980690821399e-01
5.809364548494984319e+02 3.296269498270394394e-01
5.832775919732441707e+02 3.276780837922244616e-01
5.856187290969899095e+02 3.257822588930537888e-01
5.879598662207358757e+02 3.239392024329026398e-01
5.903010033444816145e+02 3.221486125151568070e-01
5.926421404682274670e+02 3.204101603647921959e-01
5.949832775919733194e+02 3.187234925458435897e-01
5.973244147157190582e+02 3.170882330747127886e-01
5.996655518394649107e+02 3.155039854298019031e-01
6.020066889632107632e+02 3.139703344584379718e-01
6.043478260869565020e+02 3.124868481824574218e-01
6.066889632107023544e+02 3.110530795041898111e-01
6.090301003344482069e+02 3.096685678148790033e-01
6.113712374581939457e+02 3.083328405078511469e-01
6.137123745819399119e+02 3.070454143989487239e-01
6.160535117056856507e+02 3.058057970569360573e-01
6.183946488294313895e+02 3.046134880467165629e-01
6.207357859531773556e+02 3.034679800883206546e-01
6.230769230769230944e+02 3.023687601346935483e-01
6.254180602006689469e+02 3.013153103713738790e-01
6.277591973244147994e+02 3.003071091411810833e-01
6.301003344481605382e+02 2.993436317970362692e-01
6.324414715719063906e+02 2.984243514860368540e-01
6.347826086956522431e+02 2.975487398678772766e-01
6.371237458193979819e+02 2.967162677706672302e-01
6.394648829431438344e+02 2.959264057871525133e-01
6.418060200668896869e+02 2.951786248142799773e-01
6.441471571906354256e+02 2.944723965389777209e-01
6.464882943143812781e+02 2.938071938729467369e-01
6.488294314381271306e+02 2.931824913391801735e-01
6.511705685618728694e+02 2.925977654128361638e-01
6.535117056856188356e+02 2.920524948190056924e-01
6.558528428093645744e+02 2.915461607898203189e-01
6.581939799331104268e+02 2.910782472832565970e-01
6.605351170568562793e+02 2.906482411658989906e-01
6.628762541806020181e+02 2.902556323618235568e-01
6.652173913043478706e+02 2.898999139696853411e-01
6.675585284280937231e+02 2.895805823499840170e-01
6.698996655518394618e+02 2.892971371844072492e-01
6.722408026755853143e+02 2.890490815090491217e-01
6.745819397993311668e+02 2.888359217232281950e-01
6.769230769230769056e+02 2.886571675755316146e-01
6.792642140468227581e+02 2.885123321286449105e-01
6.816053511705686105e+02 2.884009317044364806e-01
6.839464882943143493e+02 2.883224858106959165e-01
6.862876254180603155e+02 2.882765170508538310e-01
6.886287625418060543e+02 2.882625510179362971e-01
6.909698996655517931e+02 2.882801161739448892e-01
6.933110367892977592e+02 2.883287437157875388e-01
6.956521739130434980e+02 2.884079674288232975e-01
6.979933110367893505e+02 2.885173235290324767e-01
7.003344481605352030e+02 2.886563504947610159e-01
7.026755852842809418e+02 2.888245888889420243e-01
7.050167224080267943e+02 2.890215811726469797e-01
7.073578595317726467e+02 2.892468715107730515e-01
7.096989966555183855e+02 2.895000055706278830e-01
7.120401337792642380e+02 2.897805303141369193e-01
7.143812709030100905e+02 2.900879937843546807e-01
7.167224080267558293e+02 2.904219448869300169e-01
7.190635451505017954e+02 2.907819331671398499e-01
7.214046822742475342e+02 2.911675085830759402e-01
7.237458193979932730e+02 2.915782212755377301e-01
7.260869565217392392e+02 2.920136213351617327e-01
7.284280936454849780e+02 2.924732585672898399e-01
7.307692307692308304e+02 2.929566822550548899e-01
7.331103678929766829e+02 2.934634409211465678e-01
7.354515050167224217e+02 2.939930820886910157e-01
7.377926421404682742e+02 2.945451520416726976e-01
7.401337792642141267e+02 2.951191955852989768e-01
7.424749163879598655e+02 2.957147558066976489e-01
7.448160535117057179e+02 2.963313738363272387e-01
7.471571906354515704e+02 2.969685886104631023e-01
7.494983277591973092e+02 2.976259366351099445e-01
7.518394648829431617e+02 2.983029517516916362e-01
7.541806020066890142e+02 2.989991649048439060e-01
7.565217391304347530e+02 2.997141039126444695e-01
7.588628762541807191e+02 3.004472932395964579e-01
7.612040133779264579e+02 3.011982537726813902e-01
7.635451505016723104e+02 3.019665026007893882e-01
7.658862876254181629e+02 3.027515527978306697e-01
7.682274247491639017e+02 3.035529132098309657e-01
7.705685618729097541e+02 3.043700882463059032e-01
7.729096989966556066e+02 3.052025776762105069e-01
7.752508361204013454e+02 3.060498764287574169e-01
7.775919732441471979e+02 3.069114743993928696e-01
7.799331103678930504e+02 3.077868562612219305e-01
7.822742474916387891e+02 3.086755012821729149e-01
7.846153846153846416e+02 3.095768831481886529e-01
7.869565217391304941e+02 3.104904697927323709e-01
7.892976588628762329e+02 3.114157232328995661e-01
7.916387959866221991e+02 3.123520994124223682e-01
7.939799331103679378e+02 3.132990480518565990e-01
7.963210702341136766e+02 3.142560125062415222e-01
7.986622073578596428e+02 3.152224296305223272e-01
8.010033444816053816e+02 3.161977296530257275e-01
8.033444816053512341e+02 3.171813360572837137e-01
8.056856187290970865e+02 3.181726654724899572e-01
8.080267558528428253e+02 3.191711275728925101e-01
8.103678929765886778e+02 3.201761249864050751e-01
8.127090301003345303e+02 3.211870532127387712e-01
8.150501672240802691e+02 3.222033005513416648e-01
8.173913043478261216e+02 3.232242480394427186e-01
8.197324414715719740e+02 3.242492694004919240e-01
8.220735785953178265e+02 3.252777310032884950e-01
8.244147157190635653e+02 3.263089918320905558e-01
8.267558528428094178e+02 3.273424034679913164e-01
8.290969899665552703e+02 3.283773100818541679e-01
8.314381270903010090e+02 3.294130484390930813e-01
8.337792642140468615e+02 3.304489479165768628e-01
8.361204013377927140e+02 3.314843305319416511e-01
8.384615384615385665e+02 3.325185109855892107e-01
8.408026755852843053e+02 3.335507967156384757e-01
8.431438127090301577e+02 3.345804879661054554e-01
8.454849498327760102e+02 3.356068778685678544e-01
8.478260869565217490e+02 3.366292525375746969e-01
8.501672240802676015e+02 3.376468911800509787e-01
8.525083612040134540e+02 3.386590662189396528e-01
8.548494983277591928e+02 3.396650434313159272e-01
8.571906354515050452e+02 3.406640821012013043e-01
8.595317725752508977e+02 3.416554351872911899e-01
8.618729096989967502e+02 3.426383495058088480e-01
8.642140468227424890e+02 3.436120659286706069e-01
8.665551839464883415e+02 3.445758195971590498e-01
8.688963210702341939e+02 3.455288401512608965e-01
8.712374581939799327e+02 3.464703519748353333e-01
8.735785953177257852e+02 3.473995744567509592e-01
8.759197324414716377e+02 3.483157222681176335e-01
8.782608695652174902e+02 3.492180056557195877e-01
8.806020066889632290e+02 3.501056307517461663e-01
8.829431438127090814e+02 3.509777998998874771e-01
8.852842809364549339e+02 3.518337119978497407e-01
8.876254180602006727e+02 3.526725628563216475e-01
8.899665551839465252e+02 3.534935455743963284e-01
8.923076923076923777e+02 3.542958509314433901e-01
8.946488294314382301e+02 3.550786677953842729e-01
8.969899665551839689e+02 3.558411835473098694e-01
8.993311036789298214e+02 3.565825845223516422e-01
9.016722408026756739e+02 3.573020564666846144e-01
9.040133779264214127e+02 3.579987850105175173e-01
9.063545150501672651e+02 3.586719561568907366e-01
9.086956521739131176e+02 3.593207567860782214e-01
9.110367892976589701e+02 3.599443751753468312e-01
9.133779264214047089e+02 3.605420015338062223e-01
9.157190635451505614e+02 3.611128285520404102e-01
9.180602006688964138e+02 3.616560519661742301e-01
9.204013377926421526e+02 3.621708711360057120e-01
9.227424749163880051e+02 3.626564896367823199e-01
9.250836120401338576e+02 3.631121158641728019e-01
9.274247491638797101e+02 3.635369636519457659e-01
9.297658862876254489e+02 3.639302529018242360e-01
9.321070234113713013e+02 3.642912102249494799e-01
9.344481605351171538e+02 3.646190695943506976e-01
9.367892976588628926e+02 3.649130730077714824e-01
9.391304347826087451e+02 3.651724711601667672e-01
9.414715719063545976e+02 3.653965241251477258e-01
9.438127090301004500e+02 3.655845020446084614e-01
9.461538461538461888e+02 3.657356858257297949e-01
9.484949832775920413e+02 3.658493678445216002e-01
9.508361204013378938e+02 3.659248526550187286e-01
9.531772575250836326e+02 3.659614577032171967e-01
9.555183946488294850e+02 3.659585140447979001e-01
9.578595317725753375e+02 3.659153670656499768e-01
9.602006688963210763e+02 3.658313772041742462e-01
9.625418060200669288e+02 3.657059206743155655e-01
9.648829431438127813e+02 3.655383901882455211e-01
9.672240802675586338e+02 3.653281956775865091e-01
9.695652173913043725e+02 3.650747650120461096e-01
9.719063545150502250e+02 3.647775447143097316e-01
9.742474916387960775e+02 3.644360006700173016e-01
9.765886287625418163e+02 3.640496188316360016e-01
9.789297658862876688e+02 3.636179059150284609e-01
9.812709030100335212e+02 3.631403900875077029e-01
9.836120401337793737e+02 3.626166216461605973e-01
9.859531772575251125e+02 3.620461736852239043e-01
9.882943143812709650e+02 3.614286427513005995e-01
9.906354515050168175e+02 3.607636494852051734e-01
9.929765886287625563e+02 3.600508392492450249e-01
9.953177257525084087e+02 3.592898827387532301e-01
9.976588628762542612e+02 3.584804765767135026e-01
1.000000000000000000e+03 3.576223438903408658e-01
