# temp  Neff/N
4.428093645484949548e+02 7.011664957352875538e-01
4.451505016722408072e+02 7.006456920226683538e-01
4.474916387959866597e+02 7.000073704958535981e-01
4.498327759197324553e+02 6.992566669354296494e-01
4.521739130434782510e+02 6.983985716699626645e-01
4.545150501672241035e+02 6.974379277455213799e-01
4.568561872909699559e+02 6.963794297605153671e-01
4.591973244147156947e+02 6.952276233112055781e-01
4.615384615384615472e+02 6.939869049949772828e-01
4.638795986622073997e+02 6.926615229203642032e-01
4.662207357859531953e+02 6.912555776748524616e-01
4.685618729096989910e+02 6.897730237036442391e-01
4.709030100334448434e+02 6.882176710548147947e-01
4.732441471571906391e+02 6.865931874486049802e-01
4.755852842809364347e+02 6.849031006309312941e-01
4.779264214046822872e+02 6.831508009735968168e-01
4.802675585284281397e+02 6.813395442860371576e-01
4.826086956521739353e+02 6.794724548058173053e-01
4.849498327759197309e+02 6.775525283374214114e-01
4.872909698996655834e+02 6.755826355111828052e-01
4.896321070234113790e+02 6.735655251364149887e-01
4.919732441471571747e+02 6.715038276250142601e-01
4.943143812709030271e+02 6.694000584638633011e-01
4.966555183946488796e+02 6.672566217164287439e-01
4.989966555183946753e+02 6.650758135358357803e-01
5.013377926421404709e+02 6.628598256735848127e-01
5.036789297658863234e+02 6.606107489697918833e-01
5.060200668896321190e+02 6.583305768125092827e-01
5.083612040133779146e+02 6.560212085552178385e-01
5.107023411371237671e+02 6.536844528830493273e-01
5.130434782608696196e+02 6.513220311196508128e-01
5.153846153846154721e+02 6.489355804678479389e-01
5.177257525083612109e+02 6.465266571784550331e-01
5.200668896321070633e+02 6.440967396426133806e-01
5.224080267558529158e+02 6.416472314040411185e-01
5.247491638795986546e+02 6.391794640884652656e-01
5.270903010033445071e+02 6.366947002482911122e-01
5.294314381270903596e+02 6.341941361213141448e-01
5.317725752508360983e+02 6.316789043029030770e-01
5.341137123745819508e+02 6.291500763316603129e-01
5.364548494983278033e+02 6.266086651890765413e-01
5.387959866220735421e+02 6.240556277141190433e-01
5.411371237458193946e+02 6.214918669340742108e-01
5.434782608695652470e+02 6.189182343132896280e-01
5.458193979933110995e+02 6.163355319217084238e-01
5.481605351170568383e+02 6.137445145253256351e-01
5.505016722408026908e+02 6.111458916008540854e-01
5.528428093645485433e+02 6.085403292770196204e-01
5.551839464882943957e+02 6.059284522050009114e-01
5.575250836120401345e+02 6.033108453605944277e-01
5.598662207357859870e+02 6.006880557807027232e-01
5.622073578595318395e+02 5.980605942367575034e-01
5.645484949832775783e+02 5.954289368476679556e-01
5.668896321070234308e+02 5.927935266348401955e-01
5.692307692307692832e+02 5.901547750217632782e-01
5.715719063545150220e+02 5.875130632805755093e-01
5.739130434782608745e+02 5.848687439279509626e-01
5.762541806020067270e+02 5.822221420725455232e-01
5.785953177257524658e+02 5.795735567161344193e-01
5.809364548494984319e+02 5.769232620104800535e-01
5.832775919732441707e+02 5.742715084718466034e-01
5.856187290969899095e+02 5.716185241549565088e-01
5.879598662207358757e+02 5.689645157880860449e-01
5.903010033444816145e+02 5.663096698708735000e-01
5.926421404682274670e+02 5.636541537362912413e-01
5.949832775919733194e+02 5.609981165781418033e-01
5.973244147157190582e+02 5.583416904453111229e-01
5.996655518394649107e+02 5.556849912039220074e-01
6.020066889632107632e+02 5.530281194684298907e-01
6.043478260869565020e+02 5.503711615026047888e-01
6.066889632107023544e+02 5.477141900912613215e-01
6.090301003344482069e+02 5.450572653835219494e-01
6.113712374581939457e+02 5.424004357083137551e-01
6.137123745819399119e+02 5.397437383627362584e-01
6.160535117056856507e+02 5.370872003738828004e-01
6.183946488294313895e+02 5.344308392346330816e-01
6.207357859531773556e+02 5.317746636138890315e-01
6.230769230769230944e+02 5.291186740416944367e-01
6.254180602006689469e+02 5.264628635696235737e-01
6.277591973244147994e+02 5.238072184068182091e-01
6.301003344481605382e+02 5.211517185320063694e-01
6.324414715719063906e+02 5.184963382818394972e-01
6.347826086956522431e+02 5.158410469158497547e-01
6.371237458193979819e+02 5.131858091583442194e-01
6.394648829431438344e+02 5.105305857175300721e-01
6.418060200668896869e+02 5.078753337821799718e-01
6.441471571906354256e+02 5.052200074961394893e-01
6.464882943143812781e+02 5.025645584109986741e-01
6.488294314381271306e+02 4.999089359172549374e-01
6.511705685618728694e+02 4.972530876543043155e-01
6.535117056856188356e+02 4.945969598996249328e-01
6.558528428093645744e+02 4.919404979375266440e-01
6.581939799331104268e+02 4.892836464078635927e-01
6.605351170568562793e+02 4.866263496351286855e-01
6.628762541806020181e+02 4.839685519383684076e-01
6.652173913043478706e+02 4.813101979223801119e-01
6.675585284280937231e+02 4.786512327506785014e-01
6.698996655518394618e+02 4.759916024007402879e-01
6.722408026755853143e+02 4.733312539020492760e-01
6.745819397993311668e+02 4.706701355575065304e-01
6.769230769230769056e+02 4.680081971487653481e-01
6.792642140468227581e+02 4.653453901260916625e-01
6.816053511705686105e+02 4.626816677833561209e-01
6.839464882943143493e+02 4.600169854187832752e-01
6.862876254180603155e+02 4.573513004821038175e-01
6.886287625418060543e+02 4.546845727087592270e-01
6.909698996655517931e+02 4.520167642418246312e-01
6.933110367892977592e+02 4.493478397423260051e-01
6.956521739130434980e+02 4.466777664886295574e-01
6.979933110367893505e+02 4.440065144655814255e-01
7.003344481605352030e+02 4.413340564440931257e-01
7.026755852842809418e+02 4.386603680518459392e-01
7.050167224080267943e+02 4.359854278357977453e-01
7.073578595317726467e+02 4.333092173171667616e-01
7.096989966555183855e+02 4.306317210395542716e-01
7.120401337792642380e+02 4.279529266108596519e-01
7.143812709030100905e+02 4.252728247396270755e-01
7.167224080267558293e+02 4.225914092664471156e-01
7.190635451505017954e+02 4.199086771910149340e-01
7.214046822742475342e+02 4.172246286954310324e-01
7.237458193979932730e+02 4.145392671643027827e-01
7.260869565217392392e+02 4.118525992021773718e-01
7.284280936454849780e+02 4.091646346488259089e-01
7.307692307692308304e+02 4.064753865928383836e-01
7.331103678929766829e+02 4.037848713839967130e-01
7.354515050167224217e+02 4.010931086448274452e-01
7.377926421404682742e+02 3.984001212817218640e-01
7.401337792642141267e+02 3.957059354959733266e-01
7.424749163879598655e+02 3.930105807950395880e-01
7.448160535117057179e+02 3.903140900043068906e-01
7.471571906354515704e+02 3.876164992795972930e-01
7.494983277591973092e+02 3.849178481206163571e-01
7.518394648829431617e+02 3.822181793855073950e-01
7.541806020066890142e+02 3.795175393066377856e-01
7.565217391304347530e+02 3.768159775077051798e-01
7.588628762541807191e+02 3.741135470222129444e-01
7.612040133779264579e+02 3.714103043133366588e-01
7.635451505016723104e+02 3.687063092951485266e-01
7.658862876254181629e+02 3.660016253551565679e-01
7.682274247491639017e+02 3.632963193780593958e-01
7.705685618729097541e+02 3.605904617705989468e-01
7.729096989966556066e+02 3.578841264873597328e-01
7.752508361204013454e+02 3.551773910573239323e-01
7.775919732441471979e+02 3.524703366109873115e-01
7.799331103678930504e+02 3.497630479077872834e-01
7.822742474916387891e+02 3.470556133635922524e-01
7.846153846153846416e+02 3.443481250779722447e-01
7.869565217391304941e+02 3.416406788609547274e-01
7.892976588628762329e+02 3.389333742589455412e-01
7.916387959866221991e+02 3.362263145794991970e-01
7.939799331103679378e+02 3.335196069145894282e-01
7.963210702341136766e+02 3.308133621620398257e-01
7.986622073578596428e+02 3.281076950447655571e-01
8.010033444816053816e+02 3.254027241274664584e-01
8.033444816053512341e+02 3.226985718304218320e-01
8.056856187290970865e+02 3.199953644400410080e-01
8.080267558528428253e+02 3.172932321158153934e-01
8.103678929765886778e+02 3.145923088933489931e-01
8.127090301003345303e+02 3.118927326831355540e-01
8.150501672240802691e+02 3.091946452647778010e-01
8.173913043478261216e+02 3.064981922763548305e-01
8.197324414715719740e+02 3.038035231986671580e-01
8.220735785953178265e+02 3.011107913341047881e-01
8.244147157190635653e+02 2.984201537799164861e-01
8.267558528428094178e+02 2.957317713956724159e-01
8.290969899665552703e+02 2.930458087647588306e-01
8.314381270903010090e+02 2.903624341497484385e-01
8.337792642140468615e+02 2.876818194415425300e-01
8.361204013377927140e+02 2.850041401022093690e-01
8.384615384615385665e+02 2.823295751014587296e-01
8.408026755852843053e+02 2.796583068467620725e-01
8.431438127090301577e+02 2.769905211071231887e-01
8.454849498327760102e+02 2.743264069305726971e-01
8.478260869565217490e+02 2.716661565554760460e-01
8.501672240802676015e+02 2.690099653157870252e-01
8.525083612040134540e+02 2.663580315404119880e-01
8.548494983277591928e+02 2.637105564468924523e-01
8.571906354515050452e+02 2.610677440296255147e-01
8.595317725752508977e+02 2.584298009429101817e-01
8.618729096989967502e+02 2.557969363790951745e-01
8.642140468227424890e+02 2.531693619421747643e-01
8.665551839464883415e+02 2.505472915171702009e-01
8.688963210702341939e+02 2.479309411356964143e-01
8.712374581939799327e+02 2.453205288380932159e-01
8.735785953177257852e+02 2.427162745325670001e-01
8.759197324414716377e+02 2.401183998517680551e-01
8.782608695652174902e+02 2.375271280072671631e-01
8.806020066889632290e+02 2.349426836423971765e-01
8.829431438127090814e+02 2.323652926839333277e-01
8.852842809364549339e+02 2.297951821930990235e-01
8.876254180602006727e+02 2.272325802163701614e-01
8.899665551839465252e+02 2.246777156365764305e-01
8.923076923076923777e+02 2.221308180247552333e-01
8.946488294314382301e+02 2.195921174932431996e-01
8.969899665551839689e+02 2.170618445504521044e-01
8.993311036789298214e+02 2.145402299577759964e-01
9.016722408026756739e+02 2.120275045890439303e-01
9.040133779264214127e+02 2.095238992929261412e-01
9.063545150501672651e+02 2.070296447586602306e-01
9.086956521739131176e+02 2.045449713854539942e-01
9.110367892976589701e+02 2.020701091558650131e-01
9.133779264214047089e+02 1.996052875134584070e-01
9.157190635451505614e+02 1.971507352449659300e-01
9.180602006688964138e+02 1.947066803671738677e-01
9.204013377926421526e+02 1.922733500186892264e-01
9.227424749163880051e+02 1.898509703567225482e-01
9.250836120401338576e+02 1.874397664589576296e-01
9.274247491638797101e+02 1.850399622305486380e-01
9.297658862876254489e+02 1.826517803162412135e-01
9.321070234113713013e+02 1.802754420175499417e-01
9.344481605351171538e+02 1.779111672149076839e-01
9.367892976588628926e+02 1.755591742946271683e-01
9.391304347826087451e+02 1.732196800804916004e-01
9.414715719063545976e+02 1.708928997697413688e-01
9.438127090301004500e+02 1.685790468731703795e-01
9.461538461538461888e+02 1.662783331590281799e-01
9.484949832775920413e+02 1.639909686003559464e-01
9.508361204013378938e+02 1.617171613253779172e-01
9.531772575250836326e+02 1.594571175705128963e-01
9.555183946488294850e+02 1.572110416355546880e-01
9.578595317725753375e+02 1.549791358405351038e-01
9.602006688963210763e+02 1.527616004837647756e-01
9.625418060200669288e+02 1.505586338005295288e-01
9.648829431438127813e+02 1.483704319218956957e-01
9.672240802675586338e+02 1.461971888330797775e-01
9.695652173913043725e+02 1.440390963308270378e-01
9.719063545150502250e+02 1.418963439792325643e-01
9.742474916387960775e+02 1.397691190634692271e-01
9.765886287625418163e+02 1.376576065408626759e-01
9.789297658862876688e+02 1.355619889887934304e-01
9.812709030100335212e+02 1.334824465489155565e-01
9.836120401337793737e+02 1.314191568672067878e-01
9.859531772575251125e+02 1.293722950293932916e-01
9.882943143812709650e+02 1.273420334913326901e-01
9.906354515050168175e+02 1.253285420039697284e-01
9.929765886287625563e+02 1.233319875325311621e-01
9.953177257525084087e+02 1.213525341696706783e-01
9.976588628762542612e+02 1.193903430423223222e-01
1.000000000000000000e+03 1.174455722120881507e-01
