# lambda av_DeltaU
   0.137137137 14342.572989834
   0.138138138 14331.236141531
   0.139139139 14319.928054997
   0.140140140 14308.648546843
   0.141141141 14297.397247891
   0.142142142 14286.173594087
   0.143143143 14274.976820368
   0.144144144 14263.805958010
   0.145145145 14252.659835904
   0.146146146 14241.537086105
   0.147147147 14230.436153861
   0.148148148 14219.355312222
   0.149149149 14208.292681142
   0.150150150 14197.246250878
   0.151151151 14186.213909327
   0.152152152 14175.193472803
   0.153153153 14164.182719628
   0.154154154 14153.179425809
   0.155155155 14142.181401974
   0.156156156 14131.186530656
   0.157157157 14120.192803018
   0.158158158 14109.198354028
   0.159159159 14098.201495180
   0.160160160 14087.200743840
   0.161161161 14076.194848413
   0.162162162 14065.182808596
   0.163163163 14054.163890132
   0.164164164 14043.137633616
   0.165165165 14032.103857075
   0.166166166 14021.062652207
   0.167167167 14010.014374387
   0.168168168 13998.959626686
   0.169169169 13987.899238364
   0.170170170 13976.834238451
   0.171171171 13965.765825170
   0.172172172 13954.695332092
   0.173173173 13943.624191985
   0.174174174 13932.553899407
   0.175175175 13921.485973063
   0.176176176 13910.421918992
   0.177177177 13899.363195550
   0.178178178 13888.311181088
   0.179179179 13877.267145117
   0.180180180 13866.232223604
   0.181181181 13855.207398882
   0.182182182 13844.193484503
   0.183183183 13833.191115179
   0.184184184 13822.200741787
   0.185185185 13811.222631254
   0.186186186 13800.256870996
   0.187187187 13789.303377434
   0.188188188 13778.361908051
   0.189189189 13767.432076306
   0.190190190 13756.513368755
   0.191191191 13745.605163623
   0.192192192 13734.706750139
   0.193193193 13723.817347940
   0.194194194 13712.936125922
   0.195195195 13702.062219973
   0.196196196 13691.194749144
   0.197197197 13680.332829871
   0.198198198 13669.475588024
   0.199199199 13658.622168625
   0.200200200 13647.771743221
   0.201201201 13636.923515004
   0.202202202 13626.076721836
   0.203203203 13615.230637479
   0.204204204 13604.384571337
   0.205205205 13593.537867120
   0.206206206 13582.689900853
   0.207207207 13571.840078657
   0.208208208 13560.987834733
   0.209209209 13550.132629967
   0.210210210 13539.273951494
   0.211211211 13528.411313533
   0.212212212 13517.544259717
   0.213213213 13506.672367053
   0.214214214 13495.795251568
   0.215215215 13484.912575600
   0.216216216 13474.024056584
   0.217217217 13463.129477136
   0.218218218 13452.228696099
   0.219219219 13441.321660197
   0.220220220 13430.408415860
   0.221221221 13419.489120749
   0.222222222 13408.564054486
   0.223223223 13397.633628102
   0.224224224 13386.698391714
   0.225225225 13375.759039991
   0.226226226 13364.816415019
   0.227227227 13353.871506234
   0.228228228 13342.925447192
   0.229229229 13331.979509015
   0.230230230 13321.035090470
   0.231231231 13310.093704732
   0.232232232 13299.156962988
   0.233233233 13288.226555127
   0.234234234 13277.304227878
   0.235235235 13266.391760792
   0.236236236 13255.490940591
   0.237237237 13244.603534383
   0.238238238 13233.731262344
   0.239239239 13222.875770429
   0.240240240 13212.038603697
   0.241241241 13201.221180804
   0.242242242 13190.424770172
   0.243243243 13179.650468306
   0.244244244 13168.899180660
   0.245245245 13158.171605370
   0.246246246 13147.468220116
   0.247247247 13136.789272286
   0.248248248 13126.134772534
   0.249249249 13115.504491758
   0.250250250 13104.897961448
   0.251251251 13094.314477306
   0.252252252 13083.753105962
   0.253253253 13073.212694608
   0.254254254 13062.691883296
   0.255255255 13052.189119653
   0.256256256 13041.702675739
   0.257257257 13031.230666777
   0.258258258 13020.771071468
   0.259259259 13010.321753630
   0.260260260 12999.880484895
   0.261261261 12989.444968219
   0.262262262 12979.012861974
   0.263263263 12968.581804393
   0.264264264 12958.149438169
   0.265265265 12947.713435007
   0.266266266 12937.271519947
   0.267267267 12926.821495263
   0.268268268 12916.361263777
   0.269269269 12905.888851394
   0.270270270 12895.402428688
   0.271271271 12884.900331351
   0.272272272 12874.381079323
   0.273273273 12863.843394410
   0.274274274 12853.286216200
   0.275275275 12842.708716079
   0.276276276 12832.110309161
